countryname;Year;Inflation-consumer prices
Denmark;2017;1,14713217
Estonia;2017;3,417235495
Finland;2017;0,754015047
Germany;2017;1,509494851
Greece;2017;1,12125452
Ireland;2017;0,362173038
Italy;2017;1,226533166
Latvia;2017;2,930363124
Luxembourg;2017;1,730799591
Netherlands;2017;1,381458714
Norway;2017;1,875100596
Poland;2017;2,075935537
Portugal;2017;1,368614116
Romania;2017;1,339021211
Slovenia;2017;1,429107433
Spain;2017;1,956076334
Sweden;2017;1,794499047
Switzerland;2017;0,53378784
Austria;2018;1,998379814
Bulgaria;2018;2,814544738
Croatia;2018;1,50012501
Czechia;2018;2,149494949
Denmark;2018;0,813609467
Estonia;2018;3,436326884
Finland;2018;1,083820984
Germany;2018;1,732168798
Greece;2018;0,625621413
Ireland;2018;0,471130714
Italy;2018;1,137487636
Latvia;2018;2,534454242
Luxembourg;2018;1,528195243
Netherlands;2018;1,703497947
Norway;2018;2,764831345
Poland;2018;1,812951565
Portugal;2018;0,993715683
Romania;2018;4,625484431
Slovenia;2018;1,73860862
Spain;2018;1,674981369
Sweden;2018;1,953535301
Switzerland;2018;0,936335464
Austria;2019;1,530895642
Bulgaria;2019;3,103729448
Croatia;2019;0,771820346
Czechia;2019;2,847875959
Denmark;2019;0,758131573
Estonia;2019;2,277259312
Finland;2019;1,02409393
Germany;2019;1,445659769
Greece;2019;0,253007522
Ireland;2019;0,937842961
Italy;2019;0,611246944
Latvia;2019;2,811409201
Luxembourg;2019;1,743320757
Netherlands;2019;2,633699102
Norway;2019;2,167730033
Poland;2019;2,227478809
Portugal;2019;0,33817841
Romania;2019;3,827854326
Slovenia;2019;1,630522608
Spain;2019;0,699518994
Sweden;2019;1,784150974
Switzerland;2019;0,36288618
Austria;2020;1,381910634
Bulgaria;2020;1,672440969
Croatia;2020;0,154811375
Czechia;2020;3,161295285
Denmark;2020;0,420711974
Estonia;2020;-0,444531098
Finland;2020;0,290554556
Germany;2020;0,144877926
Greece;2020;-1,247983556
Ireland;2020;-0,326183651
Italy;2020;-0,137707574
Latvia;2020;0,219064905
Luxembourg;2020;0,819957302
Netherlands;2020;1,272460378
Norway;2020;1,286584907
Poland;2020;3,374469726
Portugal;2020;-0,01243833
Romania;2020;2,631073112
Slovenia;2020;-0,054856816
Spain;2020;-0,322753017
Sweden;2020;0,497367319
Switzerland;2020;-0,725874933
Austria;2021;2,766666667
Bulgaria;2021;3,297744353
Croatia;2021;2,554506996
Czechia;2021;3,839844915
Denmark;2021;1,85304544
Estonia;2021;4,653166738
Finland;2021;2,194574323
Germany;2021;3,066666667
Greece;2021;1,22382501
Ireland;2021;2,340341134
Italy;2021;1,873783258
Latvia;2021;3,275829374
Luxembourg;2021;2,526920091
Netherlands;2021;2,675720088
Norway;2021;3,483880553
Poland;2021;5,055027047
Portugal;2021;1,265657191
Romania;2021;5,052328761
Slovenia;2021;1,917065061
Spain;2021;3,09313512
Sweden;2021;2,163197364
Switzerland;2021;0,581814168
Austria;2022;8,546869932
Bulgaria;2022;15,32525893
Croatia;2022;10,78058068
Czechia;2022;15,10016515
Denmark;2022;7,696566999
Estonia;2022;19,39826341
Finland;2022;7,123507733
Germany;2022;6,872574386
Greece;2022;9,645259813
Ireland;2022;7,829457364
Italy;2022;8,201289912
Latvia;2022;17,31028302
Luxembourg;2022;6,336008078
Netherlands;2022;10,00120788
Norway;2022;5,764123179
Poland;2022;14,42945076
Portugal;2022;7,832691242
Romania;2022;13,79548874
Slovenia;2022;8,833698867
Spain;2022;8,390576341
Sweden;2022;8,369290989
Switzerland;2022;2,835027986
Austria;2023;7,81413417
Bulgaria;2023;9,442841401
Croatia;2023;7,941281776
Czechia;2023;10,66126014
Denmark;2023;3,305178112
Estonia;2023;9,15922508
Finland;2023;6,250643222
Germany;2023;5,946436677
Greece;2023;3,464801285
Ireland;2023;6,299424874
Italy;2023;5,622194422
Latvia;2023;8,938046233
Luxembourg;2023;3,74140362
Netherlands;2023;3,838393543
Norway;2023;5,517849871
Poland;2023;11,5289128
Portugal;2023;4,311281919
Romania;2023;10,39718748
Slovenia;2023;7,446877174
Spain;2023;3,532361335
Sweden;2023;8,548624897
Switzerland;2023;2,13540088
