countryname;Year;gdp_capita_growth
Sweden;2016;1,071808535
Switzerland;2016;0,960131673
Austria;2017;1,564307095
Bulgaria;2017;3,499174731
Croatia;2017;4,95383381
Czechia;2017;4,894550184
Denmark;2017;2,395590656
Estonia;2017;5,506859144
Finland;2017;3,061231818
Germany;2017;2,332865934
Greece;2017;1,674020407
Ireland;2017;8,858043147
Italy;2017;1,756078536
Latvia;2017;4,319359354
Luxembourg;2017;-1,116112962
Netherlands;2017;2,175690822
Norway;2017;1,639507145
Poland;2017;5,139335422
Portugal;2017;3,567001964
Romania;2017;8,822666571
Slovenia;2017;5,10589623
Spain;2017;2,654943298
Sweden;2017;0,462320332
Switzerland;2017;0,421326163
Austria;2018;1,986262691
Bulgaria;2018;3,292633846
Croatia;2018;4,262511704
Czechia;2018;2,486987712
Denmark;2018;1,356196001
Estonia;2018;3,339406253
Finland;2018;1,058843289
Germany;2018;0,813017364
Greece;2018;2,271951777
Ireland;2018;6,220220498
Italy;2018;1,018463722
Latvia;2018;5,12560223
Luxembourg;2018;-0,714325922
Netherlands;2018;1,663357459
Norway;2018;0,165530155
Poland;2018;6,246071105
Portugal;2018;3,111235567
Romania;2018;6,746218334
Slovenia;2018;4,001304748
Spain;2018;1,947917405
Sweden;2018;0,726062679
Switzerland;2018;2,10552472
Austria;2019;1,303503434
Bulgaria;2019;4,522003262
Croatia;2019;4,128600627
Czechia;2019;3,158748019
Denmark;2019;1,347792458
Estonia;2019;3,34196735
Finland;2019;1,238120956
Germany;2019;0,760402194
Greece;2019;2,384975563
Ireland;2019;3,613766191
Italy;2019;1,593840958
Latvia;2019;1,377748628
Luxembourg;2019;0,915465846
Netherlands;2019;1,632142933
Norway;2019;0,44342928
Poland;2019;4,606007273
Portugal;2019;2,721302468
Romania;2019;4,472191654
Slovenia;2019;2,78704377
Spain;2019;1,232007028
Sweden;2019;1,515330651
Switzerland;2019;0,423089768
Austria;2020;-6,706393805
Bulgaria;2020;-2,633051094
Croatia;2020;-7,487474621
Czechia;2020;-5,534919689
Denmark;2020;-2,066138347
Estonia;2020;-3,075482599
Finland;2020;-2,630998707
Germany;2020;-4,173453208
Greece;2020;-9,001164527
Ireland;2020;6,060780601
Italy;2020;-8,423239928
Latvia;2020;-2,789965464
Luxembourg;2020;-2,547346107
Netherlands;2020;-4,400525427
Norway;2020;-1,857696109
Poland;2020;-1,863920072
Portugal;2020;-8,301071266
Romania;2020;-3,142397913
Slovenia;2020;-4,725246903
Spain;2020;-11,3740694
Sweden;2020;-2,710995782
Switzerland;2020;-2,854158322
Austria;2021;4,339758647
Bulgaria;2021;8,66244927
Croatia;2021;13,65450803
Czechia;2021;5,931069675
Denmark;2021;6,917663976
Estonia;2021;7,040927205
Finland;2021;2,521976708
Germany;2021;3,626128687
Greece;2021;9,984684951
Ireland;2021;15,15194849
Italy;2021;9,494161042
Latvia;2021;7,852926954
Luxembourg;2021;5,553502169
Netherlands;2021;5,721935291
Norway;2021;3,354495074
Poland;2021;9,580041787
Portugal;2021;4,899131869
Romania;2021;6,33606362
Slovenia;2021;8,098633988
Spain;2021;6,570333965
Sweden;2021;5,303163684
Switzerland;2021;4,588192118
Austria;2022;4,275933009
Bulgaria;2022;7,709931692
Croatia;2022;7,937400538
Czechia;2022;1,244094731
Denmark;2022;0,743682051
Estonia;2022;-1,268033766
Finland;2022;1,174535011
Germany;2022;0,641609124
Greece;2022;7,084330092
Ireland;2022;5,832660622
Italy;2022;4,873708616
Latvia;2022;2,08934627
Luxembourg;2022;-0,643838258
Netherlands;2022;4,010978848
Norway;2022;2,084381901
Poland;2022;5,712275974
Portugal;2022;6,24247087
Romania;2022;4,3667763
Slovenia;2022;2,504884299
Spain;2022;5,416005522
Sweden;2022;0,771118412
Switzerland;2022;1,720608335
Austria;2023;-1,930145503
Bulgaria;2023;4,996050986
Croatia;2023;3,1942825
Czechia;2023;-1,850421305
Denmark;2023;1,738313245
Estonia;2023;-4,540797807
Finland;2023;-1,656115361
Germany;2023;0,353884463
Greece;2023;2,63987982
Ireland;2023;-8,055686002
Italy;2023;0,732099291
Latvia;2023;1,81178249
Luxembourg;2023;-3,073571689
Netherlands;2023;-0,911427833
Norway;2023;-0,657512865
Poland;2023;0,505669211
Portugal;2023;1,132128835
Romania;2023;2,345293688
Slovenia;2023;1,70880508
Spain;2023;1,425274692
Sweden;2023;-0,780807368
Switzerland;2023;-0,541794295
