countryname;Year;gdp_capita_growth
Latvia;1981;..
Luxembourg;1981;-0,843672948
Netherlands;1981;-1,461952876
Norway;1981;1,249365417
Poland;1981;..
Portugal;1981;0,74080148
Romania;1981;..
Slovenia;1981;..
Spain;1981;-0,839887615
Sweden;1981;0,334436788
Switzerland;1981;1,047028065
Austria;1982;1,938120992
Bulgaria;1982;2,032294164
Croatia;1982;..
Czechia;1982;..
Denmark;1982;3,968481519
Estonia;1982;..
Finland;1982;2,510749921
Germany;1982;-0,300057811
Greece;1982;-1,740252903
Ireland;1982;1,321021772
Italy;1982;0,33922494
Latvia;1982;..
Luxembourg;1982;1,048300708
Netherlands;1982;-1,692590418
Norway;1982;-0,132144909
Poland;1982;..
Portugal;1982;1,512893772
Romania;1982;..
Slovenia;1982;..
Spain;1982;0,640409212
Sweden;1982;1,190775395
Switzerland;1982;-1,884376958
Austria;1983;3,139627969
Bulgaria;1983;3,172520882
Croatia;1983;..
Czechia;1983;..
Denmark;1983;2,725317312
Estonia;1983;..
Finland;1983;2,491186008
Germany;1983;1,839034129
Greece;1983;-1,652402043
Ireland;1983;-0,949007586
Italy;1983;1,132491149
Latvia;1983;..
Luxembourg;1983;2,961752859
Netherlands;1983;1,683618894
Norway;1983;3,629363189
Poland;1983;..
Portugal;1983;-0,635202474
Romania;1983;..
Slovenia;1983;..
Spain;1983;1,275514484
Sweden;1983;1,854515015
Switzerland;1983;0,208475193
Austria;1984;0,057573654
Bulgaria;1984;3,154807366
Croatia;1984;..
Czechia;1984;..
Denmark;1984;4,394008879
Estonia;1984;..
Finland;1984;2,676420043
Germany;1984;3,178987231
Greece;1984;1,503672022
Ireland;1984;3,70968036
Italy;1984;3,202783027
Latvia;1984;..
Luxembourg;1984;6,077848195
Netherlands;1984;2,653403826
Norway;1984;5,753520607
Poland;1984;..
Portugal;1984;-2,256578714
Romania;1984;..
Slovenia;1984;..
Spain;1984;1,362897273
Sweden;1984;4,134865327
Switzerland;1984;2,639204433
Austria;1985;2,450565488
Bulgaria;1985;2,684953395
Croatia;1985;..
Czechia;1985;..
Denmark;1985;4,110882379
Estonia;1985;..
Finland;1985;3,109120509
Germany;1985;2,556883601
Greece;1985;2,112294732
Ireland;1985;2,920734574
Italy;1985;2,768381433
Latvia;1985;..
Luxembourg;1985;2,593244318
Netherlands;1985;2,102934803
Norway;1985;5,237775403
Poland;1985;..
Portugal;1985;2,526606134
Romania;1985;..
Slovenia;1985;..
Spain;1985;1,951329169
Sweden;1985;1,991774093
Switzerland;1985;3,216945053
Austria;1986;2,236402092
Bulgaria;1986;4,235241268
Croatia;1986;..
Czechia;1986;..
Denmark;1986;4,593442055
Estonia;1986;..
Finland;1986;2,421897548
Germany;1986;2,240535026
Greece;1986;0,185738207
Ireland;1986;-0,473564297
Italy;1986;2,854366893
Latvia;1986;..
Luxembourg;1986;9,49157849
Netherlands;1986;2,21813146
Norway;1986;3,671666895
Poland;1986;..
Portugal;1986;4,046278693
Romania;1986;..
Slovenia;1986;..
Spain;1986;2,945279317
Sweden;1986;2,452772613
Switzerland;1986;1,329945751
Austria;1987;1,293045147
Bulgaria;1987;5,898612494
Croatia;1987;..
Czechia;1987;..
Denmark;1987;0,335785661
Estonia;1987;..
Finland;1987;3,267722184
Germany;1987;1,246499647
Greece;1987;-2,585123681
Ireland;1987;4,652241207
Italy;1987;3,181430302
Latvia;1987;..
Luxembourg;1987;3,279463856
Netherlands;1987;1,286515055
Norway;1987;1,278353029
Poland;1987;..
Portugal;1987;6,410062829
Romania;1987;..
Slovenia;1987;..
Spain;1987;5,273762923
Sweden;1987;3,009547765
Switzerland;1987;0,94940372
Austria;1988;3,14974678
Bulgaria;1988;10,82009085
Croatia;1988;..
Czechia;1988;..
Denmark;1988;0,224236935
Estonia;1988;..
Finland;1988;4,925661578
