"country","countryname","oecdmember","eumember","edate","date","party","partyname","partyabbrev","parfam","candidatename","coderid","manual","coderyear","testresult","testeditsim","pervote","voteest","presvote","absseat","totseats","progtype","datasetorigin","corpusversion","total","peruncod","per101","per102","per103","per104","per105","per106","per107","per108","per109","per110","per201","per202","per203","per204","per301","per302","per303","per304","per305","per401","per402","per403","per404","per405","per406","per407","per408","per409","per410","per411","per412","per413","per414","per415","per416","per501","per502","per503","per504","per505","per506","per507","per601","per602","per603","per604","per605","per606","per607","per608","per701","per702","per703","per704","per705","per706","per1011","per1012","per1013","per1014","per1015","per1016","per1021","per1022","per1023","per1024","per1025","per1026","per1031","per1032","per1033","per2021","per2022","per2023","per2031","per2032","per2033","per2041","per3011","per3051","per3052","per3053","per3054","per3055","per4011","per4012","per4013","per4014","per4121","per4122","per4123","per4124","per4131","per4132","per5021","per5031","per5041","per5061","per6011","per6012","per6013","per6014","per6061","per6071","per6072","per6081","per7051","per7052","per7061","per7062","per103_1","per103_2","per201_1","per201_2","per202_1","per202_2","per202_3","per202_4","per305_1","per305_2","per305_3","per305_4","per305_5","per305_6","per416_1","per416_2","per601_1","per601_2","per602_1","per602_2","per605_1","per605_2","per606_1","per606_2","per607_1","per607_2","per607_3","per608_1","per608_2","per608_3","per703_1","per703_2","rile","planeco","markeco","welfare","intpeace","datasetversion","id_perm","avg_pervote"
11,"Sweden",10,0,1968-09-15,196809,11620,"Right Party","",60,"NA",117,0,1983,NA,NA,12.859,0,NA,29,233,1,10,"NA",244,NA,2.5,0,0,0,0,0.4,0,0.8,0,0,1.6,3.3,0,0,0,0,0,0,0,5.3,10.7,1.2,0,0,0,0,1.6,0,1.2,0,0,0,9.4,0,0,0,0,2.9,3.3,0,0,0,0,0,0.4,0,6.6,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,1.2,14.7,6.2,0.4,"2024a","EKYIVF",19.4304007502197
11,"Sweden",10,0,1968-09-15,196809,11810,"Centre Party","CP",80,"NA",117,0,1983,NA,NA,15.679,0,NA,37,233,1,10,"NA",645,NA,0.8,0,0,0.2,0,1.1,4.5,0.2,0,0,0.3,1.5,0,0.3,6.1,0,0.3,0,0,2.8,7,1.9,4,0.6,0,1.1,2.8,1.5,3.9,1.9,0,0,1.2,0,0,4.2,1.9,5.6,10.5,0.3,7.9,0,0,0,2.9,0,4,0,2.5,0,0,0,4.6,0,0.8,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.6,5.9,4,16.1,1.1,"2024a","PBGFOL",12.2055473681481
11,"Sweden",10,0,1970-09-20,197009,11320,"Social Democratic Labour Party","SAP",30,"NA",117,0,1983,NA,NA,45.343,0,NA,163,350,1,10,"NA",197,NA,0.5,0,0,0,0,4.1,4.6,0.5,0,0,0,5.1,0,0,5.6,0,0,0,0,0,1,8.1,1,0.5,0,0.5,2.5,1.5,4.1,0.5,1,0,1.5,0,0,7.1,0.5,16.8,13.7,0,4.1,0,0,0,0,0,0,0,1,0,2.5,0,0.5,1,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41.2,10.1,1.5,30.5,4.1,"2024a","8DH2KX",40.4221726752397
11,"Sweden",10,0,1970-09-20,197009,11420,"People’s Party","FP",40,"NA",117,0,1983,NA,NA,16.211,0,NA,58,350,1,10,"NA",123,NA,0,0,0,0,0,3.3,2.4,0,0,0,0.8,10.6,0,1.6,1.6,0,0.8,0,0,0.8,1.6,5.7,3.3,0.8,0,0,1.6,0.8,2.4,0.8,0,0,1.6,0,0,8.9,0,8.9,14.6,0,3.3,0,0,0,1.6,0,3.3,0,0,0,0,1.6,0,0,0.8,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.5,9,2.4,23.5,3.3,"2024a","GF23Y3",10.1521420304505
11,"Sweden",10,0,1970-09-20,197009,11620,"Moderate Coalition Party","MSP",60,"NA",117,0,1983,NA,NA,11.531,0,NA,41,350,1,10,"NA",47,NA,0,0,0,0,0,0,0,0,0,0,8.5,12.8,0,0,2.1,0,2.1,2.1,0,4.3,4.3,0,0,0,0,0,2.1,0,0,0,0,0,6.4,0,0,2.1,0,6.4,10.6,0,6.4,0,0,0,8.5,0,4.3,4.3,0,0,0,0,2.1,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,0,10.7,17,0,"2024a","2I7NMD",19.4304007502197
11,"Sweden",10,0,1970-09-20,197009,11810,"Centre Party","CP",80,"NA",117,0,1983,NA,NA,19.919,0,NA,71,350,1,10,"NA",96,NA,2.1,0,0,0,0,2.1,2.1,1,0,0,0,6.3,0,0,13.5,0,1,0,0,3.1,11.5,5.2,4.2,0,0,0,0,0,4.2,0,1,0,2.1,0,0,5.2,0,6.3,14.6,0,1,0,0,0,3.1,0,2.1,0,0,0,0,0,4.2,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.6,10.4,5.2,20.9,2.1,"2024a","GSOD7F",12.2055473681481
11,"Sweden",10,0,1973-09-16,197309,11320,"Social Democratic Labour Party","SAP",30,"NA",117,0,1983,NA,NA,43.559,0,NA,156,350,1,10,"NA",41,NA,0,0,0,0,0,2.6,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,7.7,0,0,0,0,0,5.1,0,0,0,0,10.3,12.8,0,0,0,0,0,0,0,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.7,5.1,5.1,23.1,2.6,"2024a","3TQEFF",40.4221726752397
11,"Sweden",10,0,1973-09-16,197309,11420,"People’s Party","FP",40,"NA",117,0,1983,NA,NA,9.419,0,NA,34,350,1,10,"NA",149,NA,0,0,0,0,0,0,2,0,0,0,4.7,8.7,0.7,1.3,6.7,0.7,0,0,0,4,1.3,4.7,1.3,1.3,0,0,3.4,2,2,3.4,0,0,4,0,0,12.1,0,6,7.4,0,4.7,0,0,0,1.3,0,1.3,0,1.3,0,0,0,0,0,0.7,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.5,6,8,13.4,0,"2024a","AEJX65",10.1521420304505
11,"Sweden",10,0,1973-09-16,197309,11620,"Moderate Coalition Party","MSP",60,"NA",117,0,1983,NA,NA,14.294,0,NA,51,350,1,10,"NA",76,NA,0,0,0,1.3,0,2.6,0,0,0,0,2.6,2.6,0,1.3,2.6,0,0,0,0,11.8,7.9,0,0,0,0,0,1.3,0,1.3,0,0,0,3.9,0,0,6.6,0,10.5,10.5,0,9.2,0,0,0,6.6,0,7.9,2.6,1.3,0,0,0,1.3,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,0,15.7,21,2.6,"2024a","92DNQ4",19.4304007502197
11,"Sweden",10,0,1973-09-16,197309,11810,"Centre Party","CP",80,"NA",117,0,1983,NA,NA,25.101,0,NA,90,350,1,10,"NA",167,NA,0.6,0,0,0.6,0,1.2,1.2,0,0,0,0.6,7.5,0.6,1.2,14.4,0,0,0,0,0,4,8,1.7,0,0,0,4.6,4,0,1.7,0,0,1.2,0,0,6.9,0.6,5.2,12.6,0,4.6,0,0,0,4.6,0,1.2,0,2.3,0,0,0,3.4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24,9.7,1.2,17.8,1.2,"2024a","YCKVJ8",12.2055473681481
