countryname;Year;GDP_per_capita
Estonia;2015;17722,15577
Finland;2015;42560,34568
Germany;2015;41911,01099
Greece;2015;17980,72982
Ireland;2015;64311,82347
Italy;2015;30387,12932
Latvia;2015;13321,97531
Luxembourg;2015;105462,0126
Netherlands;2015;45793,81354
Norway;2015;74809,9658
Poland;2015;12637,52203
Portugal;2015;19215,7813
Romania;2015;8977,017482
Slovak Republic;2015;16442,07609
Slovenia;2015;20697,27485
Spain;2015;25969,83831
Sweden;2015;51197,95293
Switzerland;2015;83806,4476
Austria;2016;45061,49939
Bulgaria;2016;7570,931655
Croatia;2016;12821,17381
Czechia;2016;18753,96867
Denmark;2016;54500,92604
Estonia;2016;18666,37365
Finland;2016;43451,25624
Germany;2016;42961,03569
Greece;2016;17919,24264
Ireland;2016;64292,65997
Italy;2016;31126,32469
Latvia;2016;13838,52668
Luxembourg;2016;106899,2935
Netherlands;2016;46808,52915
Norway;2016;70867,361
Poland;2016;12464,01105
Portugal;2016;19980,28089
Romania;2016;9404,540059
Slovak Republic;2016;16636,07691
Slovenia;2016;21447,83778
Spain;2016;26740,68518
Sweden;2016;51820,39725
Switzerland;2016;82153,07454
Austria;2017;47163,74258
Bulgaria;2017;8381,881346
Croatia;2017;13902,63105
Czechia;2017;20913,19763
Denmark;2017;57521,5515
Estonia;2017;20851,52235
Finland;2017;46085,01747
Germany;2017;45526,59996
Greece;2017;18631,99301
Ireland;2017;72499,32687
Italy;2017;32554,14668
Latvia;2017;15132,49583
Luxembourg;2017;110193,2138
Netherlands;2017;49513,68173
Norway;2017;76131,8384
Poland;2017;13913,34029
Portugal;2017;21442,38428
Romania;2017;10727,9822
Slovak Republic;2017;17645,52987
Slovenia;2017;23303,07771
Spain;2017;28367,93926
Sweden;2017;53300,85873
Switzerland;2017;82254,37693
Austria;2018;51194,07498
Bulgaria;2018;9436,144799
Croatia;2018;15460,41833
Czechia;2018;23705,93298
Denmark;2018;61324,7665
Estonia;2018;23618,13613
Finland;2018;49654,2497
Germany;2018;48874,8595
Greece;2018;19873,40152
Ireland;2018;81248,31354
Italy;2018;34746,34414
Latvia;2018;17252,17104
Luxembourg;2018;116786,5117
Netherlands;2018;53955,077
Norway;2018;82792,84271
Poland;2018;15658,21203
Portugal;2018;23541,14011
Romania;2018;12502,26241
Slovak Republic;2018;19573,3717
Slovenia;2018;25888,04811
Spain;2018;30592,12648
Sweden;2018;54181,90698
Switzerland;2018;85217,36915
Austria;2019;49885,99474
Bulgaria;2019;9838,60059
Croatia;2019;15563,81674
Czechia;2019;24062,719
Denmark;2019;59404,26632
Estonia;2019;24021,25014
Finland;2019;48358,18078
Germany;2019;47623,86561
Greece;2019;19335,3602
Ireland;2019;82508,46599
Italy;2019;33812,78872
Latvia;2019;17294,97516
Luxembourg;2019;112726,4397
Netherlands;2019;53554,90075
Norway;2019;76430,58895
Poland;2019;15874,52205
Portugal;2019;23343,3629
Romania;2019;12992,03261
Slovak Republic;2019;19406,05897
Slovenia;2019;25814,16872
Spain;2019;29776,20115
Sweden;2019;51773,04646
Switzerland;2019;84121,93103
Austria;2020;48716,40989
Bulgaria;2020;10198,53883
Croatia;2020;14808,46202
Czechia;2020;23472,89155
Denmark;2020;60985,48856
Estonia;2020;23933,99394
Finland;2020;48828,68469
Germany;2020;47379,76519
Greece;2020;17886,73317
Ireland;2020;87567,1149
Italy;2020;32091,48666
Latvia;2020;17564,23215
Luxembourg;2020;116905,3704
Netherlands;2020;53467,92774
Norway;2020;68340,0181
Poland;2020;15987,57537
Portugal;2020;22299,40441
Romania;2020;13082,30066
Slovak Republic;2020;19735,48583
Slovenia;2020;25392,06511
Spain;2020;27230,35999
Sweden;2020;52653,75659
Switzerland;2020;85897,78433
Austria;2021;53648,71907
Bulgaria;2021;12274,0776
Croatia;2021;17789,93047
Czechia;2021;27696,46195
Denmark;2021;69727,98737
Estonia;2021;27953,76702
Finland;2021;53099,13514
Germany;2021;52265,65416
Greece;2021;20654,7002
Ireland;2021;105561,1375
Italy;2021;36852,54254
Latvia;2021;20262,84339
Luxembourg;2021;133711,7944
Netherlands;2021;60141,98809
Norway;2021;93072,89251
Poland;2021;18635,51049
Portugal;2021;24711,45101
Romania;2021;14986,78549
Slovak Republic;2021;22138,19498
Slovenia;2021;29187,36938
Spain;2021;30817,68286
Sweden;2021;61174,96802
Switzerland;2021;93446,43445
Austria;2022;52176,66491
Bulgaria;2022;13644,20158
Croatia;2022;18466,09555
Czechia;2022;28282,22367
Denmark;2022;68091,31911
Estonia;2022;28451,14778
Finland;2022;50438,4754
Germany;2022;49686,11546
Greece;2022;20971,83493
Ireland;2022;106194,7559
Italy;2022;35635,74422
Latvia;2022;20229,46136
Luxembourg;2022;125006,0218
Netherlands;2022;59123,31856
Norway;2022;108798,4512
Poland;2022;18891,21212
Portugal;2022;24620,51956
Romania;2022;15557,88262
Slovak Republic;2022;21342,76667
Slovenia;2022;28373,83823
Spain;2022;30287,36576
Sweden;2022;55296,93715
Switzerland;2022;93245,79521
Austria;2023;56033,57379
Bulgaria;2023;15885,53913
Croatia;2023;21865,45628
Czechia;2023;31591,17707
Denmark;2023;68453,87693
Estonia;2023;30133,30445
Finland;2023;52925,68976
Germany;2023;54343,22651
Greece;2023;23400,72788
Ireland;2023;103887,8004
Italy;2023;39003,3161
Latvia;2023;22502,84299
Luxembourg;2023;128678,1899
Netherlands;2023;64572,00596
Norway;2023;87925,09442
Poland;2023;22056,66617
Portugal;2023;27331,20949
Romania;2023;18404,27309
Slovak Republic;2023;24491,37719
Slovenia;2023;32610,11092
Spain;2023;33509,0128
Sweden;2023;55516,83648
Switzerland;2023;99564,71003
