countryname;Year;GDP_per_capita
Bulgaria;1981;2234,814816
Croatia;1981;..
Czechia;1981;..
Denmark;1981;12000,21038
Estonia;1981;..
Finland;1981;10925,09572
Germany;1981;10246,47676
Greece;1981;5305,437294
Ireland;1981;5986,154109
Italy;1981;7640,402413
Latvia;1981;..
Luxembourg;1981;13837,12998
Netherlands;1981;11537,40269
Norway;1981;15512,5067
Poland;1981;..
Portugal;1981;3245,975214
Romania;1981;..
Slovak Republic;1981;..
Slovenia;1981;..
Spain;1981;5367,329763
Sweden;1981;15564,01196
Switzerland;1981;17665,0139
Austria;1982;9373,488206
Bulgaria;1982;2169,004011
Croatia;1982;..
Czechia;1982;..
Denmark;1982;11740,21991
Estonia;1982;..
Finland;1982;10935,31106
Germany;1982;9950,05926
Greece;1982;5501,637001
Ireland;1982;6160,638614
Italy;1982;7573,939676
Latvia;1982;..
Luxembourg;1982;12590,9768
Netherlands;1982;11088,95432
Norway;1982;15224,89391
Poland;1982;..
Portugal;1982;3079,949566
Romania;1982;..
Slovak Republic;1982;..
Slovenia;1982;..
Spain;1982;5156,023038
Sweden;1982;13719,2114
Switzerland;1982;17999,96926
Austria;1983;9500,050704
Bulgaria;1983;1852,813434
Croatia;1983;..
Czechia;1983;..
Denmark;1983;11796,5692
Estonia;1983;..
Finland;1983;10493,96266
Germany;1983;9900,485592
Greece;1983;4950,060265
Ireland;1983;5915,241772
Italy;1983;7850,62789
Latvia;1983;..
Luxembourg;1983;12374,03042
Netherlands;1983;10696,0775
Norway;1983;14927,51748
Poland;1983;..
Portugal;1983;2735,491066
Romania;1983;..
Slovak Republic;1983;..
Slovenia;1983;..
Spain;1983;4475,301268
Sweden;1983;12590,09461
Switzerland;1983;17859,23237
Austria;1984;8955,848292
Bulgaria;1984;1963,572676
Croatia;1984;..
Czechia;1984;..
Denmark;1984;11516,68216
Estonia;1984;..
Finland;1984;10830,21852
Germany;1984;9347,290684
Greece;1984;4785,07463
Ireland;1984;5692,027386
Italy;1984;7757,553748
Latvia;1984;..
Luxembourg;1984;12126,9392
Netherlands;1984;9991,843777
Norway;1984;14989,48577
Poland;1984;..
Portugal;1984;2522,747476
Romania;1984;..
Slovak Republic;1984;..
Slovenia;1984;..
Spain;1984;4486,781739
Sweden;1984;13080,18039
Switzerland;1984;16991,24588
Austria;1985;9136,170926
Bulgaria;1985;1914,550647
Croatia;1985;..
Czechia;1985;..
Denmark;1985;12212,7874
Estonia;1985;..
Finland;1985;11394,1921
Germany;1985;9464,116947
Greece;1985;4746,760358
Ireland;1985;6011,735546
Italy;1985;8009,103476
Latvia;1985;..
Luxembourg;1985;12481,96584
Netherlands;1985;9940,738436
Norway;1985;15753,55277
Poland;1985;..
Portugal;1985;2705,193002
Romania;1985;..
Slovak Republic;1985;..
Slovenia;1985;..
Spain;1985;4696,298796
Sweden;1985;13647,20056
Switzerland;1985;17152,09485
Austria;1986;13031,8281
Bulgaria;1986;2260,427281
Croatia;1986;..
Czechia;1986;..
Denmark;1986;17136,62974
Estonia;1986;..
Finland;1986;14946,99262
Germany;1986;13511,152
Greece;1986;5577,832587
Ireland;1986;8112,171363
Italy;1986;11341,09399
Latvia;1986;..
Luxembourg;1986;18149,86925
Netherlands;1986;13804,13606
Norway;1986;18883,23335
Poland;1986;..
Portugal;1986;3861,948433
Romania;1986;..
Slovak Republic;1986;..
Slovenia;1986;..
Spain;1986;6508,850655
Sweden;1986;17955,15715
Switzerland;1986;24459,85363
Austria;1987;16328,5613
Bulgaria;1987;3132,30136
Croatia;1987;..
Czechia;1987;..
Denmark;1987;21295,67686
Estonia;1987;..
Finland;1987;18565,02644
Germany;1987;16738,61328
Greece;1987;6473,577832
Ireland;1987;9581,913086
Italy;1987;14267,53682
Latvia;1987;..
Luxembourg;1987;22443,43146
Netherlands;1987;16734,15141
Norway;1987;22505,86226
Poland;1987;..
Portugal;1987;4803,866095
Romania;1987;1658,758739
Slovak Republic;1987;..
Slovenia;1987;..
Spain;1987;8233,72823
Sweden;1987;21761,21445
Switzerland;1987;30440,51082
Austria;1988;17509,76587
Bulgaria;1988;2511,393063
Croatia;1988;..
Czechia;1988;..
Denmark;1988;22524,57926
Estonia;1988;..
Finland;1988;22043,77016
Germany;1988;17996,97835
Greece;1988;7492,352048
Ireland;1988;10715,87062
Italy;1988;15780,94951
Latvia;1988;..
Luxembourg;1988;25219,35428
Netherlands;1988;17770,61624
Norway;1988;24207,28147
Poland;1988;..
Portugal;1988;5623,697
Romania;1988;1753,192856
Slovak Republic;1988;..
Slovenia;1988;..
Spain;1988;9696,192854
Sweden;1988;24499,40532
Switzerland;1988;32690,43027
Austria;1989;17400,52266
Bulgaria;1989;2477,020818
Croatia;1989;..
Czechia;1989;..
Denmark;1989;21882,15175
Estonia;1989;..
Finland;1989;23969,0528
Germany;1989;17829,46095
Greece;1989;7737,543858
Ireland;1989;11175,8166
Italy;1989;16424,43016
Latvia;1989;..
Luxembourg;1989;26618,06958
Netherlands;1989;17423,29616
Norway;1989;24281,13041
Poland;1989;..
Portugal;1989;6056,381028
Romania;1989;1789,644555
Slovak Republic;1989;..
Slovenia;1989;..
Spain;1989;10674,34102
Sweden;1989;25625,31037
Switzerland;1989;31308,65083
Austria;1990;21596,06822
Bulgaria;1990;2366,529821
Croatia;1990;5369,109786
Czechia;1990;3969,367335
Denmark;1990;26885,69942
Estonia;1990;..
Finland;1990;28366,20428
Germany;1990;22385,67783
Greece;1990;9466,662385
Ireland;1990;14031,30257
Italy;1990;20873,78341
Latvia;1990;..
Luxembourg;1990;33465,47821
Netherlands;1990;21322,19448
Norway;1990;28242,9814
Poland;1990;1731,209509
Portugal;1990;7884,617988
Romania;1990;1648,48523
Slovak Republic;1990;2437,17517
Slovenia;1990;9925,14071
Spain;1990;13795,01594
Sweden;1990;30549,66928
Switzerland;1990;39574,53981
